id,n_cells,area_m2,max_depth_m,p95_depth_m,mean_depth_m,volume_m3,fill_ratio,floor_sigma_z_m,rim_sigma_z_m,centroid_lat,centroid_lon
111130,199,19900.0,0.93969727,0.93969727,0.7404405,14734.766,0.78795636,0.12434357,0.15489455,12.837244458491304,77.61015294549499
73694,193,19300.0,1.3019409,1.2625122,0.76212925,14709.094,0.5853793,0.15572548,0.12781925,12.950918681101783,77.61804482724266
6410,129,12900.0,2.8199463,2.2438111,1.1336211,14623.712,0.40200093,0.16600262,0.16256651,13.109124047119245,77.62463678392646
96002,158,15800.0,1.1882935,1.1882935,0.91690177,14487.049,0.7716123,0.13927123,0.14579146,12.895311024179826,77.63950188830496
87867,93,9300.0,6.684326,4.4268312,1.5392581,14315.1,0.23027872,0.0,0.1261632,12.918093460000659,77.62730983765218
101662,335,33500.0,1.1901855,1.0081238,0.42503372,14238.629,0.3571155,0.14724664,0.1445417,12.878614662831884,77.46345087226666
56864,127,12700.0,1.5448608,1.5448608,1.1129905,14134.9795,0.7204471,0.16090073,0.12925759,12.98220995074755,77.71337726214806
27052,390,39000.0,1.529419,1.393872,0.3605622,14061.926,0.23575109,0.12540248,0.10738562,13.043250880918041,77.50161973506553
21560,244,24400.0,1.734375,1.4864044,0.56453395,13774.628,0.32549703,0.15672886,0.16246977,13.057811221395534,77.54267168939626
101829,109,10900.0,1.3091431,1.3091431,1.2595898,13729.529,0.96214837,0.08058985,0.18545604,12.876205714010243,77.69143653961403
75100,171,17100.0,1.4971924,1.4748535,0.79487336,13592.334,0.5309093,0.11365348,0.08312775,12.945446074978523,77.72383239030022
87799,120,12000.0,6.431885,4.724869,1.1269776,13523.73,0.17521732,0.16448975,0.13438037,12.917956818667344,77.62602678868178
56957,145,14500.0,1.3568115,1.2049072,0.91189384,13222.461,0.6720859,0.09289589,0.15808275,12.981531196517656,77.67214911798692
40582,137,13700.0,2.9384155,1.470166,0.9498745,13013.281,0.32326078,0.18743907,0.13668476,13.01239729100019,77.68497912198778
664,162,16200.0,1.4864502,1.471991,0.79784364,12925.067,0.5367443,0.16388367,0.13832408,13.137585500960906,77.76212503642368
76233,138,13800.0,1.4194336,1.3598754,0.9356097,12911.414,0.659143,0.16070437,0.13890356,12.943977350501202,77.70874775480002
5345,72,7200.0,4.075012,3.6095123,1.7877316,12871.668,0.43870583,0.1652367,0.13794519,13.115656778590974,77.65575796086564
37881,178,17800.0,1.2769165,1.2295501,0.717626,12773.742,0.56199914,0.13886374,0.14814213,13.016700726049507,77.73894490279903
95984,265,26500.0,1.0529175,0.9013306,0.48005602,12721.484,0.4559294,0.12263116,0.14185615,12.896830830220493,77.47775000905195
86726,168,16800.0,1.5090942,1.4428314,0.75026083,12604.383,0.49715972,0.14549667,0.13457274,12.922515033800645,77.45849150881905
50018,119,11900.0,2.0977173,1.9482605,1.0468206,12457.166,0.49902847,0.15638787,0.16937101,12.997413723211531,77.4614689979649
61677,255,25500.0,0.82159424,0.7654053,0.48686045,12414.941,0.5925802,0.13043703,0.15074265,12.975179054480622,77.46064946256774
108833,110,11000.0,1.6968994,1.6968994,1.1206421,12327.0625,0.66040564,0.1751903,0.14743514,12.84771086676446,77.6735861540745
110463,221,22100.0,1.0710449,1.0140381,0.55351317,12232.642,0.51679736,0.14517918,0.1530979,12.841362883468982,77.51837215281317
103751,113,11300.0,1.3081665,1.3081665,1.0648723,12033.057,0.8140189,0.091862,0.12311443,12.86821318296382,77.67608721420899
107222,42,4200.0,6.3756714,5.595215,2.8493042,11967.078,0.44690263,0.19284058,0.14323068,12.856164338347629,77.56509819009038
6856,59,5900.0,4.069397,3.863977,2.0057683,11834.033,0.4928908,0.17549062,0.18519194,13.10703283111538,77.65234686124015
20894,250,25000.0,1.2055664,1.0330322,0.4713662,11784.155,0.3909915,0.13352843,0.14901711,13.058556248388754,77.66311224360739
45827,309,30900.0,1.6416626,1.2102295,0.37238044,11506.555,0.22683127,0.13943285,0.12619531,13.001270682201902,77.78231134969019
110730,49,4900.0,5.7782593,5.077539,2.344912,11490.069,0.40581635,0.17825317,0.16319866,12.840271699880855,77.55946503818187
